"","ID","Electorate","Party","PartyVotes","MPName","MPParty","MPVotes"
"784",50,"Taranaki-King Country","Labour Party","    3,904","GAYLOR, Penny","LAB","5,041"
"785",50,"Taranaki-King Country","National Party","   18,752","KURIGER, Barbara","NAT","20,438"
"786",50,"Taranaki-King Country","ACT New Zealand","      112"," "," "," "
"787",50,"Taranaki-King Country","Ban1080","      136"," "," "," "
"788",50,"Taranaki-King Country","Internet MANA","      146"," "," "," "
"789",50,"Taranaki-King Country","New Zealand First Party","    2,886"," "," "," "
"790",50,"Taranaki-King Country","The Civilian Party","        9"," "," "," "
"791",50,"Taranaki-King Country","Democrats for Social Credit","       19","ESPIN, David","NZDSC","148"
"792",50,"Taranaki-King Country"," "," ","KEINZLEY, Grant","IP","176"
"793",50,"Taranaki-King Country","Green Party","    2,045","MOORE, Robert","GP","2,681"
"794",50,"Taranaki-King Country","Aotearoa Legalise Cannabis Party","      128"," "," "," "
"795",50,"Taranaki-King Country","Focus New Zealand","        7"," "," "," "
"796",50,"Taranaki-King Country","Maori Party","      153"," "," "," "
"797",50,"Taranaki-King Country","NZ Independent Coalition","        9"," "," "," "
"798",50,"Taranaki-King Country","United Future","       76"," "," "," "
"799",51,"Taupo","Conservative","    1,586","GEDGE, Lance","CNSP","827"
"800",51,"Taupo","New Zealand First Party","    3,371","PERRY, Edwin","NZF","2,131"
"801",51,"Taupo","United Future","       85","SIMMONS, Alan","UFNZ","133"
"802",51,"Taupo","National Party","   18,792","UPSTON, Louise ","NAT","20,514"
"803",51,"Taupo","ACT New Zealand","       73"," "," "," "
"804",51,"Taupo","Ban1080","      194"," "," "," "
"805",51,"Taupo","Internet MANA","      140"," "," "," "
"806",51,"Taupo","The Civilian Party","        9"," "," "," "
"807",51,"Taupo","Democrats for Social Credit","       27","PEMBERTON, John","NZDSC","61"
"808",51,"Taupo","Green Party","    1,885","ROBINSON, Dave","GP","1,637"
"809",51,"Taupo","Labour Party","    5,966","STRANGE, Jamie","LAB","6,731"
"810",51,"Taupo","Maori Party","      247","WINITANA, Claire","MAOR","315"
"811",51,"Taupo","Aotearoa Legalise Cannabis Party","      116"," "," "," "
"812",51,"Taupo","Focus New Zealand","        7"," "," "," "
"813",51,"Taupo","NZ Independent Coalition","        9"," "," "," "
"814",52,"Tauranga","Conservative","    1,968","HESLOP, Nathaniel","CNSP","965"
"815",52,"Tauranga"," "," ","KANE, Rusty","IND","69"
"816",52,"Tauranga","Green Party","    2,151","McLEAN, Ian","GP","1,821"
"817",52,"Tauranga","New Zealand First Party","    4,950","MITCHELL, Clayton","NZF","5,441"
"818",52,"Tauranga","NZ Independent Coalition","       86","O'NEILL, Michael","NZIC","160"
"819",52,"Tauranga","Aotearoa Legalise Cannabis Party","       82"," "," "," "
"820",52,"Tauranga","Democrats for Social Credit","       14"," "," "," "
"821",52,"Tauranga","Internet MANA","      138"," "," "," "
"822",52,"Tauranga","National Party","   18,781","BRIDGES, Simon","NAT","18,967"
"823",52,"Tauranga","Labour Party","    4,697","JONES, Rachel ","LAB","5,290"
"824",52,"Tauranga"," "," ","LAMARE, Yvette","IND","41"
"825",52,"Tauranga","United Future","       77","MAXWELL, James","UFNZ","80"
"826",52,"Tauranga","Maori Party","      185","OHIA-GATE, Verna","MAOR","167"
"827",52,"Tauranga","ACT New Zealand","      117","PEDERSEN, Stuart","ACT","132"
"828",52,"Tauranga","Ban1080","       10"," "," "," "
"829",52,"Tauranga","Focus New Zealand","        2"," "," "," "
"830",52,"Tauranga","The Civilian Party","        5"," "," "," "
"831",53,"Te Atatu","ACT New Zealand","      399","FLETCHER, Stephen","ACT","348"
"832",53,"Te Atatu","National Party","   12,077","NGARO, Alfred","NAT","11,569"
"833",53,"Te Atatu","Green Party","    2,228","STEWART, Gary","GP","1,337"
"834",53,"Te Atatu"," "," ","YONG, Chris","IP","231"
"835",53,"Te Atatu","Democrats for Social Credit","        8"," "," "," "
"836",53,"Te Atatu","Internet MANA","      269"," "," "," "
"837",53,"Te Atatu","New Zealand First Party","    2,428"," "," "," "
"838",53,"Te Atatu","The Civilian Party","        4"," "," "," "
"839",53,"Te Atatu","Aotearoa Legalise Cannabis Party","       93","McDERMOTT, Adrian","ALCP","267"
"840",53,"Te Atatu","Conservative","    1,121","O'ROURKE, Paddy","CNSP","866"
"841",53,"Te Atatu","Labour Party","    9,832","TWYFORD, Phil","LAB","13,829"
"842",53,"Te Atatu","Ban1080","       10"," "," "," "
"843",53,"Te Atatu","Focus New Zealand","        0"," "," "," "
"844",53,"Te Atatu","Maori Party","      107"," "," "," "
"845",53,"Te Atatu","NZ Independent Coalition","       12"," "," "," "
"846",53,"Te Atatu","United Future","       43"," "," "," "
"847",54,"Tukituki","National Party","   17,233","FOSS, Craig","NAT","16,887"
"848",54,"Tukituki","ACT New Zealand","      123","LENNOX, Duncan","ACT","143"
"849",54,"Tukituki","Aotearoa Legalise Cannabis Party","      116","MANNING, Romana Marnz","ALCP","307"
"850",54,"Tukituki","Democrats for Social Credit","       16","RYAN, Dick","NZDSC","83"
"851",54,"Tukituki","Focus New Zealand","        5"," "," "," "
"852",54,"Tukituki","Maori Party","      155"," "," "," "
"853",54,"Tukituki","NZ Independent Coalition","        4"," "," "," "
"854",54,"Tukituki","United Future","       48"," "," "," "
"855",54,"Tukituki","Conservative","    2,157","JENKINSON, Stephen","CNSP","1,775"
"856",54,"Tukituki","Labour Party","    7,145","LORCK, Anna ","LAB","11,087"
"857",54,"Tukituki","Green Party","    2,599","PERLEY, Chris","GP","1,827"
"858",54,"Tukituki","Ban1080","       43"," "," "," "
"859",54,"Tukituki","Internet MANA","      189"," "," "," "
"860",54,"Tukituki","New Zealand First Party","    2,477"," "," "," "
"861",54,"Tukituki","The Civilian Party","       11"," "," "," "
"862",55,"Upper Harbour","ACT New Zealand","      380","BERRY, Stephen","ACT","445"
"863",55,"Upper Harbour","Green Party","    1,822","MAYNE, Nicholas","GP","2,102"
"864",55,"Upper Harbour","Labour Party","    6,474","RETZLAFF, Hermann ","LAB","7,395"
"865",55,"Upper Harbour","Aotearoa Legalise Cannabis Party","       95"," "," "," "
"866",55,"Upper Harbour","Democrats for Social Credit","        4"," "," "," "
"867",55,"Upper Harbour","Internet MANA","      202"," "," "," "
"868",55,"Upper Harbour","NZ Independent Coalition","        7"," "," "," "
"869",55,"Upper Harbour","United Future","       55"," "," "," "
"870",55,"Upper Harbour","National Party","   15,696","BENNETT, Paula","NAT","16,132"
"871",55,"Upper Harbour","Conservative","    1,419","BLAIR, Callum","CNSP","1,625"
"872",55,"Upper Harbour"," "," ","NGATA, Makelesi","MANA","158"
"873",55,"Upper Harbour","Maori Party","       93","TE HAU, Hinurewa","MAOR","186"
"874",55,"Upper Harbour","Ban1080","       11"," "," "," "
"875",55,"Upper Harbour","Focus New Zealand","        3"," "," "," "
"876",55,"Upper Harbour","New Zealand First Party","    1,967"," "," "," "
"877",55,"Upper Harbour","The Civilian Party","       13"," "," "," "
"878",56,"Waikato","Conservative","    1,854","DOBBS, Brian","CNSP","1,285"
"879",56,"Waikato","Democrats for Social Credit","       34","RANSOM, Katherine","NZDSC","150"
"880",56,"Waikato","National Party","   19,350","TISCH, Lindsay","NAT","20,769"
"881",56,"Waikato","Ban1080","       75"," "," "," "
"882",56,"Waikato","Green Party","    1,685"," "," "," "
"883",56,"Waikato","Maori Party","      164"," "," "," "
"884",56,"Waikato","The Civilian Party","        6"," "," "," "
"885",56,"Waikato","ACT New Zealand","      167","BURROW, Mike","ACT","265"
"886",56,"Waikato","Labour Party","    4,567","GREER, Christine","LAB","5,965"
"887",56,"Waikato","New Zealand First Party","    3,444","STEWART, Barbara","NZF","3,014"
"888",56,"Waikato","Aotearoa Legalise Cannabis Party","      135"," "," "," "
"889",56,"Waikato","Focus New Zealand","        6"," "," "," "
"890",56,"Waikato","Internet MANA","      134"," "," "," "
"891",56,"Waikato","NZ Independent Coalition","       10"," "," "," "
"892",56,"Waikato","United Future","       69"," "," "," "
"893",57,"Waimakariri","Democrats for Social Credit","       67","ADCOCK-WHITE, Peter","NZDSC","54"
"894",57,"Waimakariri","National Party","   18,713","DOOCEY, Matt","NAT","15,684"
"895",57,"Waimakariri","Conservative","    1,437","PRICE, Benjamin ","CNSP","724"
"896",57,"Waimakariri","Maori Party","       84","RERITI-CROFTS, Aroha ","MAOR","73"
"897",57,"Waimakariri","Aotearoa Legalise Cannabis Party","       97"," "," "," "
"898",57,"Waimakariri","Focus New Zealand","        5"," "," "," "
"899",57,"Waimakariri","NZ Independent Coalition","        6"," "," "," "
"900",57,"Waimakariri","United Future","       54"," "," "," "
"901",57,"Waimakariri","Labour Party","    6,126","COSGROVE, Clayton ","LAB","13,551"
"902",57,"Waimakariri","Green Party","    2,733","HUNT, Reuben","GP","1,270"
"903",57,"Waimakariri","New Zealand First Party","    2,775","PROSSER, Richard Ivor","NZF","935"
"904",57,"Waimakariri","ACT New Zealand","       67"," "," "," "
"905",57,"Waimakariri","Ban1080","       53"," "," "," "
"906",57,"Waimakariri","Internet MANA","      112"," "," "," "
"907",57,"Waimakariri","The Civilian Party","       14"," "," "," "
"908",58,"Wairarapa","Green Party","    2,680","HART, John","GP","1,295"
"909",58,"Wairarapa","New Zealand First Party","    4,102","MARK, Ron","NZF","8,006"
"910",58,"Wairarapa","National Party","   17,966","SCOTT, Alastair","NAT","14,913"
"911",58,"Wairarapa","Aotearoa Legalise Cannabis Party","      142"," "," "," "
"912",58,"Wairarapa","Democrats for Social Credit","        7"," "," "," "
"913",58,"Wairarapa","Internet MANA","      127"," "," "," "
"914",58,"Wairarapa","The Civilian Party","       19"," "," "," "
"915",58,"Wairarapa","ACT New Zealand","      106","ATKINSON, Shane","ACT","79"
"916",58,"Wairarapa","Labour Party","    7,002","McANULTY, Kieran","LAB","8,685"
"917",58,"Wairarapa","Conservative","    1,509","REID, Brent Allan","CNSP","771"
"918",58,"Wairarapa","Maori Party","      182","SMITH, Ra","MAOR","163"
"919",58,"Wairarapa","Ban1080","      124"," "," "," "
"920",58,"Wairarapa","Focus New Zealand","        4"," "," "," "
"921",58,"Wairarapa","NZ Independent Coalition","        6"," "," "," "
"922",58,"Wairarapa","United Future","       53"," "," "," "
"923",59,"Waitaki","Labour Party","    6,532","ALEXANDER, Glenda","LAB","7,239"
"924",59,"Waitaki","Green Party","    3,753","COUTTS, Sue","GP","4,278"
"925",59,"Waitaki","Democrats for Social Credit","       75","VAN WIEREN, Hessel","NZDSC","232"
"926",59,"Waitaki","Aotearoa Legalise Cannabis Party","      167"," "," "," "
"927",59,"Waitaki","Focus New Zealand","        5"," "," "," "
"928",59,"Waitaki","Maori Party","       82"," "," "," "
"929",59,"Waitaki","NZ Independent Coalition","       10"," "," "," "
"930",59,"Waitaki","United Future","       84"," "," "," "
"931",59,"Waitaki","Conservative","    1,606","AUBREY, Donald","CNSP","1,312"
"932",59,"Waitaki","National Party","   20,629","DEAN, Jacqui","NAT","22,414"
"933",59,"Waitaki","ACT New Zealand","       91"," "," "," "
"934",59,"Waitaki","Ban1080","      123"," "," "," "
"935",59,"Waitaki","Internet MANA","      120"," "," "," "
"936",59,"Waitaki","New Zealand First Party","    2,497"," "," "," "
"937",59,"Waitaki","The Civilian Party","       13"," "," "," "
"938",60,"Wellington Central","National Party","   12,006","FOSTER-BELL, Paul","NAT","9,557"
"939",60,"Wellington Central","Conservative","      493","HOOPER, Brian","CNSP","252"
"940",60,"Wellington Central","Democrats for Social Credit","       14","KNUCKEY, James","NZDSC","42"
"941",60,"Wellington Central"," "," ","ROBINSON, Peter Franklin","IND","67"
"942",60,"Wellington Central"," "," ","VALENTINE, Callum","IP","152"
"943",60,"Wellington Central","Ban1080","       13"," "," "," "
"944",60,"Wellington Central","Internet MANA","      413"," "," "," "
"945",60,"Wellington Central","NZ Independent Coalition","        6"," "," "," "
"946",60,"Wellington Central","United Future","      103"," "," "," "
"947",60,"Wellington Central","New Zealand First Party","    1,138","BARR, Hugh","NZF","471"
"948",60,"Wellington Central","Aotearoa Legalise Cannabis Party","       88","GREGORY, Alistair","ALCP","258"
"949",60,"Wellington Central"," "," ","KARENA PUHI, Huimaono Geoff","IND","38"
"950",60,"Wellington Central","Labour Party","    7,351","ROBERTSON, Grant","LAB","16,102"
"951",60,"Wellington Central","Green Party","    8,627","SHAW, James","GP","3,670"
"952",60,"Wellington Central","ACT New Zealand","      212"," "," "," "
"953",60,"Wellington Central","Focus New Zealand","        3"," "," "," "
"954",60,"Wellington Central","Maori Party","      233"," "," "," "
"955",60,"Wellington Central","The Civilian Party","       37"," "," "," "
"956",61,"West Coast-Tasman","Green Party","    3,966","HAGUE, Kevin","GP","2,024"
"957",61,"West Coast-Tasman","Labour Party","    7,714","O'CONNOR, Damien Peter","LAB","15,405"
"958",61,"West Coast-Tasman","Ban1080","      855","SALTER, Pete","BAN","2,141"
"959",61,"West Coast-Tasman","ACT New Zealand","       91"," "," "," "
"960",61,"West Coast-Tasman","Democrats for Social Credit","       22"," "," "," "
"961",61,"West Coast-Tasman","Internet MANA","      225"," "," "," "
"962",61,"West Coast-Tasman","New Zealand First Party","    2,872"," "," "," "
"963",61,"West Coast-Tasman","The Civilian Party","       10"," "," "," "
"964",61,"West Coast-Tasman"," "," ","BOOMERT, Laurence","MFP","43"
"965",61,"West Coast-Tasman","Conservative","    1,699","HOLLEY, Claire Margaret","CNSP","954"
"966",61,"West Coast-Tasman","National Party","   14,827","PUGH, Maureen","NAT","11,717"
"967",61,"West Coast-Tasman"," "," ","WILKINSON, Steven","IND","203"
"968",61,"West Coast-Tasman","Aotearoa Legalise Cannabis Party","      171"," "," "," "
"969",61,"West Coast-Tasman","Focus New Zealand","        6"," "," "," "
"970",61,"West Coast-Tasman","Maori Party","      116"," "," "," "
"971",61,"West Coast-Tasman","NZ Independent Coalition","       13"," "," "," "
"972",61,"West Coast-Tasman","United Future","       64"," "," "," "
"973",62,"Whanganui","National Party","   15,549","BORROWS, Chester","NAT","17,384"
"974",62,"Whanganui","Labour Party","    8,210","McDOUALL, Hamish","LAB","13,089"
"975",62,"Whanganui","Democrats for Social Credit","       53","SMITH, Heather Marion","NZDSC","197"
"976",62,"Whanganui","Aotearoa Legalise Cannabis Party","      157"," "," "," "
"977",62,"Whanganui","Focus New Zealand","       11"," "," "," "
"978",62,"Whanganui","Internet MANA","      208"," "," "," "
"979",62,"Whanganui","NZ Independent Coalition","       11"," "," "," "
"980",62,"Whanganui","United Future","       64"," "," "," "
"981",62,"Whanganui","ACT New Zealand","      142","DAVIDSON, Alan","ACT","197"
"982",62,"Whanganui","Conservative","    1,642","MacINTYRE, Kim","CNSP","815"
"983",62,"Whanganui","Maori Party","      170","TUAINE, Nancy","MAOR","546"
"984",62,"Whanganui","Ban1080","       49"," "," "," "
"985",62,"Whanganui","Green Party","    2,197"," "," "," "
"986",62,"Whanganui","New Zealand First Party","    3,940"," "," "," "
"987",62,"Whanganui","The Civilian Party","       18"," "," "," "
"988",63,"Whangarei","Green Party","    3,061","DOHERTY, Paul","GP","2,734"
"989",63,"Whangarei","ACT New Zealand","      189","GRIEVE, Robin","ACT","264"
"990",63,"Whangarei","Focus New Zealand","       32","KING, Les","FNZ","130"
"991",63,"Whangarei","Conservative","    1,799","NIGHTINGALE, Don","CNSP","917"
"992",63,"Whangarei","National Party","   17,172","RETI, Shane ","NAT","18,747"
"993",63,"Whangarei","Ban1080","       35"," "," "," "
"994",63,"Whangarei","NZ Independent Coalition","       13"," "," "," "
"995",63,"Whangarei","United Future","       85"," "," "," "
"996",63,"Whangarei"," "," ","CURRIN, David","IP","290"
"997",63,"Whangarei","Labour Party","    5,909","ELLIS, Kelly","LAB","6,368"
"998",63,"Whangarei","Maori Party","      169","KAIPO, Anaru","MAOR","254"
"999",63,"Whangarei","Democrats for Social Credit","      109","LEITCH, Chris","NZDSC","938"
"1000",63,"Whangarei","New Zealand First Party","    4,534","PARAONE, Pita","NZF","2,741"
"1001",63,"Whangarei","Aotearoa Legalise Cannabis Party","      149"," "," "," "
"1002",63,"Whangarei","Internet MANA","      306"," "," "," "
"1003",63,"Whangarei","The Civilian Party","       13"," "," "," "
"1004",64,"Wigram"," "," ","HANSEN, Tubby","NZEE","40"
"1005",64,"Wigram","Conservative","      992","PETERS, Mark","CNSP","761"
"1006",64,"Wigram","Democrats for Social Credit","       26","RING, John","NZDSC","67"
"1007",64,"Wigram","Green Party","    3,223","WESLEY, Richard","GP","1,874"
"1008",64,"Wigram","Aotearoa Legalise Cannabis Party","      123"," "," "," "
"1009",64,"Wigram","Focus New Zealand","        4"," "," "," "
"1010",64,"Wigram","New Zealand First Party","    2,320"," "," "," "
"1011",64,"Wigram","The Civilian Party","       23"," "," "," "
"1012",64,"Wigram","ACT New Zealand","      274","GRIEVE, Shaun","ACT","266"
"1013",64,"Wigram"," "," ","McCLINTOCK, Lois","IP","174"
"1014",64,"Wigram","Maori Party","      113","PHILLIPS, Te Whe","MAOR","98"
"1015",64,"Wigram","National Party","   11,474","VARLEY, Karl ","NAT","9,927"
"1016",64,"Wigram","Labour Party","    7,601","WOODS, Megan","LAB","13,015"
"1017",64,"Wigram","Ban1080","       31"," "," "," "
"1018",64,"Wigram","Internet MANA","      180"," "," "," "
"1019",64,"Wigram","NZ Independent Coalition","        6"," "," "," "
"1020",64,"Wigram","United Future","       70"," "," "," "
"1021",65,"Hauraki-Waikato","Maori Party","    2,223","CULLEN, Susan","MAOR","3,813"
"1022",65,"Hauraki-Waikato","Labour Party","    7,923","MAHUTA, Nanaia","LAB","10,510"
"1023",65,"Hauraki-Waikato","Aotearoa Legalise Cannabis Party","      240"," "," "," "
"1024",65,"Hauraki-Waikato","Conservative","      132"," "," "," "
"1025",65,"Hauraki-Waikato","Focus New Zealand","        9"," "," "," "
"1026",65,"Hauraki-Waikato","Internet MANA","    1,332"," "," "," "
"1027",65,"Hauraki-Waikato","New Zealand First Party","    2,380"," "," "," "
"1028",65,"Hauraki-Waikato","The Civilian Party","        3"," "," "," "
"1029",65,"Hauraki-Waikato"," "," ","GREENSILL, Angeline Ngahina","MANA","2,620"
"1030",65,"Hauraki-Waikato","ACT New Zealand","       35"," "," "," "
"1031",65,"Hauraki-Waikato","Ban1080","       30"," "," "," "
"1032",65,"Hauraki-Waikato","Democrats for Social Credit","        5"," "," "," "
"1033",65,"Hauraki-Waikato","Green Party","    1,618"," "," "," "
"1034",65,"Hauraki-Waikato","National Party","    1,337"," "," "," "
"1035",65,"Hauraki-Waikato","NZ Independent Coalition","       20"," "," "," "
"1036",65,"Hauraki-Waikato","United Future","       14"," "," "," "
"1037",66,"Ikaroa-Rawhiti"," "," ","EDEN, Cathryn","IND","191"
"1038",66,"Ikaroa-Rawhiti","Green Party","    1,886","KANI, Henare","GP","1,825"
"1039",66,"Ikaroa-Rawhiti"," "," ","ROSE, Vicky","EXP","44"
"1040",66,"Ikaroa-Rawhiti","ACT New Zealand","       22"," "," "," "
"1041",66,"Ikaroa-Rawhiti","Ban1080","       20"," "," "," "
"1042",66,"Ikaroa-Rawhiti","Democrats for Social Credit","        2"," "," "," "
"1043",66,"Ikaroa-Rawhiti","Internet MANA","    1,753"," "," "," "
"1044",66,"Ikaroa-Rawhiti","New Zealand First Party","    2,224"," "," "," "
"1045",66,"Ikaroa-Rawhiti","The Civilian Party","        2"," "," "," "
"1046",66,"Ikaroa-Rawhiti","Maori Party","    2,313","FOX, Marama","MAOR","3,314"
"1047",66,"Ikaroa-Rawhiti"," "," ","NIKORA, Te Hamua","MANA","4,356"
"1048",66,"Ikaroa-Rawhiti","Labour Party","    8,962","WHAITIRI, Meka","LAB","8,644"
"1049",66,"Ikaroa-Rawhiti","Aotearoa Legalise Cannabis Party","      231"," "," "," "
"1050",66,"Ikaroa-Rawhiti","Conservative","      108"," "," "," "
"1051",66,"Ikaroa-Rawhiti","Focus New Zealand","        4"," "," "," "
"1052",66,"Ikaroa-Rawhiti","National Party","    1,010"," "," "," "
"1053",66,"Ikaroa-Rawhiti","NZ Independent Coalition","       13"," "," "," "
"1054",66,"Ikaroa-Rawhiti","United Future","        6"," "," "," "
"1055",67,"Tamaki Makaurau","Green Party","    1,933","DAVIDSON, Marama","GP","2,566"
"1056",67,"Tamaki Makaurau","Labour Party","    6,901","HENARE, Peeni","LAB","6,497"
"1057",67,"Tamaki Makaurau"," "," ","PENE, Kereama","MANA","2,092"
"1058",67,"Tamaki Makaurau","Aotearoa Legalise Cannabis Party","      154"," "," "," "
"1059",67,"Tamaki Makaurau","Conservative","      118"," "," "," "
"1060",67,"Tamaki Makaurau","Focus New Zealand","       17"," "," "," "
"1061",67,"Tamaki Makaurau","National Party","    1,301"," "," "," "
"1062",67,"Tamaki Makaurau","NZ Independent Coalition","        4"," "," "," "
"1063",67,"Tamaki Makaurau","United Future","       15"," "," "," "
"1064",67,"Tamaki Makaurau"," "," ","HARRISON, Raewyn","IND","237"
"1065",67,"Tamaki Makaurau","Maori Party","    2,193","McLEAN, Rangi","MAOR","5,262"
"1066",67,"Tamaki Makaurau","ACT New Zealand","       32"," "," "," "
"1067",67,"Tamaki Makaurau","Ban1080","        4"," "," "," "
"1068",67,"Tamaki Makaurau","Democrats for Social Credit","        1"," "," "," "
"1069",67,"Tamaki Makaurau","Internet MANA","    1,724"," "," "," "
"1070",67,"Tamaki Makaurau","New Zealand First Party","    2,453"," "," "," "
"1071",67,"Tamaki Makaurau","The Civilian Party","        1"," "," "," "
"1072",68,"Te Tai Hauauru","Maori Party","    3,064","McKENZIE, Chris","MAOR","5,639"
"1073",68,"Te Tai Hauauru"," "," ","WINIATA, Jordan","MANA","1,584"
"1074",68,"Te Tai Hauauru","Aotearoa Legalise Cannabis Party","      204"," "," "," "
"1075",68,"Te Tai Hauauru","Conservative","       95"," "," "," "
"1076",68,"Te Tai Hauauru","Focus New Zealand","        1"," "," "," "
"1077",68,"Te Tai Hauauru","National Party","    1,212"," "," "," "
"1078",68,"Te Tai Hauauru","NZ Independent Coalition","       14"," "," "," "
"1079",68,"Te Tai Hauauru","United Future","       12"," "," "," "
"1080",68,"Te Tai Hauauru","Green Party","    1,969","McDONALD, Jack Tautokai","GP","2,520"
"1081",68,"Te Tai Hauauru","Labour Party","    7,240","RURAWHE, Adrian","LAB","7,092"
"1082",68,"Te Tai Hauauru","ACT New Zealand","       21"," "," "," "
"1083",68,"Te Tai Hauauru","Ban1080","       38"," "," "," "
"1084",68,"Te Tai Hauauru","Democrats for Social Credit","        2"," "," "," "
"1085",68,"Te Tai Hauauru","Internet MANA","    1,111"," "," "," "
"1086",68,"Te Tai Hauauru","New Zealand First Party","    2,089"," "," "," "
"1087",68,"Te Tai Hauauru","The Civilian Party","        5"," "," "," "
"1088",69,"Te Tai Tokerau"," "," ","DEARLOVE, Clinton","IND","374"
"1089",69,"Te Tai Tokerau","Maori Party","    1,866","PAENGA, Te Hira","MAOR","2,171"
"1090",69,"Te Tai Tokerau","Aotearoa Legalise Cannabis Party","      188"," "," "," "
"1091",69,"Te Tai Tokerau","Conservative","      131"," "," "," "
"1092",69,"Te Tai Tokerau","Focus New Zealand","       46"," "," "," "
"1093",69,"Te Tai Tokerau","Internet MANA","    3,326"," "," "," "
"1094",69,"Te Tai Tokerau","New Zealand First Party","    2,805"," "," "," "
"1095",69,"Te Tai Tokerau","The Civilian Party","        4"," "," "," "
"1096",69,"Te Tai Tokerau","Labour Party","    6,512","DAVIS, Kelvin","LAB","8,442"
"1097",69,"Te Tai Tokerau"," "," ","HARAWIRA, Hone","MANA","7,323"
"1098",69,"Te Tai Tokerau","ACT New Zealand","       35"," "," "," "
"1099",69,"Te Tai Tokerau","Ban1080","       15"," "," "," "
"1100",69,"Te Tai Tokerau","Democrats for Social Credit","       11"," "," "," "
"1101",69,"Te Tai Tokerau","Green Party","    1,821"," "," "," "
"1102",69,"Te Tai Tokerau","National Party","    1,659"," "," "," "
"1103",69,"Te Tai Tokerau","NZ Independent Coalition","       13"," "," "," "
"1104",69,"Te Tai Tokerau","United Future","       17"," "," "," "
"1105",70,"Te Tai Tonga"," "," ","BEYER, Georgina","MANA","1,607"
"1106",70,"Te Tai Tonga","Aotearoa Legalise Cannabis Party","      227","KINGI, Emma-Jane Mihaere","ALCP","838"
"1107",70,"Te Tai Tonga","Democrats for Social Credit","       20","TAMATI, Hahona Rakiraki","NZDSC","154"
"1108",70,"Te Tai Tonga","ACT New Zealand","       28"," "," "," "
"1109",70,"Te Tai Tonga","Conservative","      129"," "," "," "
"1110",70,"Te Tai Tonga","Internet MANA","      778"," "," "," "
"1111",70,"Te Tai Tonga","New Zealand First Party","    2,224"," "," "," "
"1112",70,"Te Tai Tonga","The Civilian Party","        6"," "," "," "
"1113",70,"Te Tai Tonga","Maori Party","    1,901","BUTTON, Ngaire","MAOR","4,099"
"1114",70,"Te Tai Tonga","Green Party","    2,689","LANGSBURY, Dora Roimata","GP","2,585"
"1115",70,"Te Tai Tonga","Labour Party","    6,344","TIRIKATENE, Rino","LAB","7,280"
"1116",70,"Te Tai Tonga","Ban1080","       73"," "," "," "
"1117",70,"Te Tai Tonga","Focus New Zealand","        2"," "," "," "
"1118",70,"Te Tai Tonga","National Party","    2,435"," "," "," "
"1119",70,"Te Tai Tonga","NZ Independent Coalition","       20"," "," "," "
"1120",70,"Te Tai Tonga","United Future","       14"," "," "," "
"1121",71,"Waiariki","Maori Party","    3,831","FLAVELL, Te Ururoa James","MAOR","7,973"
"1122",71,"Waiariki"," "," ","SYKES, Annette","MANA","4,482"
"1123",71,"Waiariki","ACT New Zealand","       13"," "," "," "
"1124",71,"Waiariki","Ban1080","       52"," "," "," "
"1125",71,"Waiariki","Democrats for Social Credit","        2"," "," "," "
"1126",71,"Waiariki","Green Party","    1,414"," "," "," "
"1127",71,"Waiariki","National Party","      940"," "," "," "
"1128",71,"Waiariki","The Civilian Party","        5"," "," "," "
"1129",71,"Waiariki","NZ Independent Coalition","       42","SPELLMAN, Pat","NZIC","265"
"1130",71,"Waiariki","Labour Party","    7,030","WAITITI, Rawiri","LAB","4,965"
"1131",71,"Waiariki","Aotearoa Legalise Cannabis Party","      181"," "," "," "
"1132",71,"Waiariki","Conservative","       68"," "," "," "
"1133",71,"Waiariki","Focus New Zealand","        6"," "," "," "
"1134",71,"Waiariki","Internet MANA","    1,913"," "," "," "
"1135",71,"Waiariki","New Zealand First Party","    2,376"," "," "," "
"1136",71,"Waiariki","United Future","        9"," "," "," "
